"Row.names","Connectivity","PValue","pert_id","pert_iname","pert_type","cell_id","pert_idose","pert_itime","distil_id"
"AML001_HL60_6H:BRD-K26684619:10","-0.79521","0.0046729","BRD-K26684619","BRD-K26684619","trt_cp","HL60","10 <U+788C>M","6 h","AML001_HL60_6H_X1_F1B10:I01|AML001_HL60_6H_X1_F1B10:I13|AML001_HL60_6H_X2_B11:I01|AML001_HL60_6H_X2_B11:I13|AML001_HL60_6H_X3_F1B10:I01|AML001_HL60_6H_X3_F1B10:I13"
"AML001_HL60_24H:BRD-A03772856:0.37037","-0.77705","0.0024938","BRD-A03772856","BRD-A03772856","trt_cp","HL60","500 nM","24 h","AML001_HL60_24H_X1_F1B10:J04|AML001_HL60_24H_X1_F1B10:J16|AML001_HL60_24H_X2_F1B10:J04|AML001_HL60_24H_X2_F1B10:J16|AML001_HL60_24H_X3_F1B10:J04|AML001_HL60_24H_X3_F1B10:J16"
"AML001_HL60_6H:BRD-A72498772:3.33333","-0.75605","0.0024331","BRD-A72498772","BRD-A72498772","trt_cp","HL60","3 <U+788C>M","6 h","AML001_HL60_6H_X1_F1B10:K12|AML001_HL60_6H_X2_B11:K12|AML001_HL60_6H_X2_B11:K24|AML001_HL60_6H_X3_F1B10:K12"
"AML001_HL60_24H:BRD-K95149906:1.11111","-0.74673","0.0025000","BRD-K95149906","BRD-K95149906","trt_cp","HL60","1 <U+788C>M","24 h","AML001_HL60_24H_X1_F1B10:J07|AML001_HL60_24H_X1_F1B10:J19|AML001_HL60_24H_X2_F1B10:J07|AML001_HL60_24H_X2_F1B10:J19|AML001_HL60_24H_X3_F1B10:J07|AML001_HL60_24H_X3_F1B10:J19"
"AML001_HL60_24H:BRD-K27316855:0.37037","-0.74036","0.0032051","BRD-K27316855","calcitriol","trt_cp","HL60","500 nM","24 h","AML001_HL60_24H_X1_F1B10:J10|AML001_HL60_24H_X1_F1B10:J22|AML001_HL60_24H_X2_F1B10:J10|AML001_HL60_24H_X2_F1B10:J22|AML001_HL60_24H_X3_F1B10:J10|AML001_HL60_24H_X3_F1B10:J22"
"AML001_HL60_6H:BRD-A74382794:0.37037","-0.72821","0.0020408","BRD-A74382794","BRD-A74382794","trt_cp","HL60","500 nM","6 h","AML001_HL60_6H_X1_F1B10:L06|AML001_HL60_6H_X1_F1B10:L18|AML001_HL60_6H_X2_B11:L06|AML001_HL60_6H_X2_B11:L18|AML001_HL60_6H_X3_F1B10:L06|AML001_HL60_6H_X3_F1B10:L18"
"AML001_HL60_24H:A17","-0.72422","0.0021459","DMSO","DMSO","ctl_vehicle","HL60","0.1 %","24 h","AML001_HL60_24H_X1_F1B10:A17|AML001_HL60_24H_X3_F1B10:A17"
"AML001_HL60_24H:BRD-A74382794:1.11111","-0.71121","0.0036900","BRD-A74382794","BRD-A74382794","trt_cp","HL60","1 <U+788C>M","24 h","AML001_HL60_24H_X1_F1B10:L05|AML001_HL60_24H_X1_F1B10:L17|AML001_HL60_24H_X2_F1B10:L05|AML001_HL60_24H_X2_F1B10:L17|AML001_HL60_24H_X3_F1B10:L05|AML001_HL60_24H_X3_F1B10:L17"
"AML001_HL60_6H:BRD-K71879491:3.33333","-0.71101","0.0018416","BRD-K71879491","tretinoin","trt_cp","HL60","3 <U+788C>M","6 h","AML001_HL60_6H_X1_F1B10:G12|AML001_HL60_6H_X1_F1B10:G24|AML001_HL60_6H_X2_B11:G12|AML001_HL60_6H_X2_B11:G24|AML001_HL60_6H_X3_F1B10:G12|AML001_HL60_6H_X3_F1B10:G24"
"AML001_HL60_24H:BRD-A35207501:0.37037","-0.70178","0.0024213","BRD-A35207501","BRD-A35207501","trt_cp","HL60","500 nM","24 h","AML001_HL60_24H_X1_F1B10:H04|AML001_HL60_24H_X1_F1B10:H16|AML001_HL60_24H_X2_F1B10:H04|AML001_HL60_24H_X2_F1B10:H16|AML001_HL60_24H_X3_F1B10:H04"
"AML001_HL60_24H:B18","-0.69982","0.0039841","DMSO","DMSO","ctl_vehicle","HL60","0.1 %","24 h","AML001_HL60_24H_X2_F1B10:B18"
"AML001_HL60_24H:BRD-K80368509:0.37037","-0.68729","0.0043478","BRD-K80368509","BRD-K80368509","trt_cp","HL60","500 nM","24 h","AML001_HL60_24H_X1_F1B10:N08|AML001_HL60_24H_X1_F1B10:N20|AML001_HL60_24H_X2_F1B10:N08|AML001_HL60_24H_X2_F1B10:N20|AML001_HL60_24H_X3_F1B10:N08|AML001_HL60_24H_X3_F1B10:N20"
"AML001_HL60_24H:BRD-A03772856:3.33333","-0.66830","0.0045872","BRD-A03772856","BRD-A03772856","trt_cp","HL60","3 <U+788C>M","24 h","AML001_HL60_24H_X1_F1B10:I04|AML001_HL60_24H_X1_F1B10:I16|AML001_HL60_24H_X2_F1B10:I04|AML001_HL60_24H_X2_F1B10:I16|AML001_HL60_24H_X3_F1B10:I04|AML001_HL60_24H_X3_F1B10:I16"
"AML001_HL60_24H:A05","-0.66417","0.0030675","DMSO","DMSO","ctl_vehicle","HL60","0.1 %","24 h","AML001_HL60_24H_X3_F1B10:A05"
