"Row.names","Connectivity","PValue","pert_id","pert_iname","pert_type","cell_id","pert_idose","pert_itime","distil_id"
"AML001_HL60_24H:B18",-0.82082,0.0025039938861844,"DMSO","DMSO","ctl_vehicle","HL60","0.1 %","24 h","AML001_HL60_24H_X2_F1B10:B18"
"AML001_HL60_24H:BRD-K47084999:1.11111",-0.77821,0.00194086561414155,"BRD-K47084999","BRD-K47084999","trt_cp","HL60","1 µM","24 h","AML001_HL60_24H_X1_F1B10:B07|AML001_HL60_24H_X1_F1B10:B19|AML001_HL60_24H_X2_F1B10:B07|AML001_HL60_24H_X2_F1B10:B19|AML001_HL60_24H_X3_F1B10:B07|AML001_HL60_24H_X3_F1B10:B19"
"AML001_HL60_24H:P11",-0.751015,0.00160213017215745,"DMSO","DMSO","ctl_vehicle","HL60","0.1 %","24 h","AML001_HL60_24H_X2_F1B10:P11"
"AML001_HL60_24H:DMSO:0.1",-0.7394,0.00329996304987904,"DMSO","DMSO","ctl_vehicle","HL60","0.1 %","24 h","AML001_HL60_24H_X1_F1B10:A17|AML001_HL60_24H_X1_F1B10:B05|AML001_HL60_24H_X1_F1B10:B06|AML001_HL60_24H_X1_F1B10:O01|AML001_HL60_24H_X1_F1B10:O02|AML001_HL60_24H_X1_F1B10:O12|AML001_HL60_24H_X1_F1B10:O13|AML001_HL60_24H_X1_F1B10:O24|AML001_HL60_24H_X1_F1B10:P01|AML001_HL60_24H_X1_F1B10:P12|AML001_HL60_24H_X1_F1B10:P24|AML001_HL60_24H_X2_F1B10:A06|AML001_HL60_24H_X2_F1B10:B17|AML001_HL60_24H_X2_F1B10:B18|AML001_HL60_24H_X2_F1B10:H21|AML001_HL60_24H_X2_F1B10:H22|AML001_HL60_24H_X2_F1B10:O23|AML001_HL60_24H_X2_F1B10:O24|AML001_HL60_24H_X2_F1B10:P01|AML001_HL60_24H_X2_F1B10:P02|AML001_HL60_24H_X2_F1B10:P11|AML001_HL60_24H_X2_F1B10:P14|AML001_HL60_24H_X2_F1B10:P23|AML001_HL60_24H_X2_F1B10:P24|AML001_HL60_24H_X3_F1B10:A05|AML001_HL60_24H_X3_F1B10:A06|AML001_HL60_24H_X3_F1B10:A17|AML001_HL60_24H_X3_F1B10:B06|AML001_HL60_24H_X3_F1B10:G21|AML001_HL60_24H_X3_F1B10:O02|AML001_HL60_24H_X3_F1B10:O11|AML001_HL60_24H_X3_F1B10:O12|AML001_HL60_24H_X3_F1B10:O13|AML001_HL60_24H_X3_F1B10:O23|AML001_HL60_24H_X3_F1B10:O24|AML001_HL60_24H_X3_F1B10:P02|AML001_HL60_24H_X3_F1B10:P12"
"AML001_HL60_24H:A05",-0.728375,0.0101211219779592,"DMSO","DMSO","ctl_vehicle","HL60","0.1 %","24 h","AML001_HL60_24H_X3_F1B10:A05"
"AML001_HL60_24H:BRD-A72498772:1.11111",-0.7219,0.0074262781077304,"BRD-A72498772","BRD-A72498772","trt_cp","HL60","1 µM","24 h","AML001_HL60_24H_X1_F1B10:L11|AML001_HL60_24H_X1_F1B10:L23|AML001_HL60_24H_X2_F1B10:L11|AML001_HL60_24H_X2_F1B10:L23|AML001_HL60_24H_X3_F1B10:L11|AML001_HL60_24H_X3_F1B10:L23"
"AML001_HL60_24H:BRD-K85822033:1.11111",-0.721335,0.0108224269174241,"BRD-K85822033","BRD-K85822033","trt_cp","HL60","1 µM","24 h","AML001_HL60_24H_X1_F1B10:D07|AML001_HL60_24H_X1_F1B10:D19|AML001_HL60_24H_X2_F1B10:D07|AML001_HL60_24H_X2_F1B10:D19|AML001_HL60_24H_X3_F1B10:D07|AML001_HL60_24H_X3_F1B10:D19"
"AML001_HL60_24H:A17",-0.71475,0.00709557527784453,"DMSO","DMSO","ctl_vehicle","HL60","0.1 %","24 h","AML001_HL60_24H_X1_F1B10:A17|AML001_HL60_24H_X3_F1B10:A17"
"AML001_HL60_6H:BRD-K41790758:3.33333",-0.714745,0.0107911182574808,"BRD-K41790758","BRD-K41790758","trt_cp","HL60","3 µM","6 h","AML001_HL60_6H_X1_F1B10:G08|AML001_HL60_6H_X1_F1B10:G20|AML001_HL60_6H_X2_B11:G08|AML001_HL60_6H_X2_B11:G20|AML001_HL60_6H_X3_F1B10:G08|AML001_HL60_6H_X3_F1B10:G20"
"AML001_HL60_6H:G21",-0.707895,0.00598663352377426,"DMSO","DMSO","ctl_vehicle","HL60","0.1 %","6 h","AML001_HL60_6H_X2_B11:G21"
"AML001_HL60_24H:BRD-K13077924:0.37037",-0.70453,0.00290401559699774,"BRD-K13077924","BRD-K13077924","trt_cp","HL60","500 nM","24 h","AML001_HL60_24H_X1_F1B10:D10|AML001_HL60_24H_X1_F1B10:D22|AML001_HL60_24H_X2_F1B10:D10|AML001_HL60_24H_X2_F1B10:D22|AML001_HL60_24H_X3_F1B10:D10|AML001_HL60_24H_X3_F1B10:D22"
"AML001_HL60_6H:BRD-K21918725:10",-0.697775,0.0170667737128264,"BRD-K21918725","BRD-K21918725","trt_cp","HL60","10 µM","6 h","AML001_HL60_6H_X1_F1B10:M11|AML001_HL60_6H_X1_F1B10:M23|AML001_HL60_6H_X2_B11:M11|AML001_HL60_6H_X2_B11:M23|AML001_HL60_6H_X3_F1B10:M11|AML001_HL60_6H_X3_F1B10:M23"
"AML001_HL60_24H:P02",-0.67864,0.0139624467599188,"DMSO","DMSO","ctl_vehicle","HL60","0.1 %","24 h","AML001_HL60_24H_X2_F1B10:P02|AML001_HL60_24H_X3_F1B10:P02"
"AML001_HL60_6H:BRD-K41790758:0.37037",-0.67701,0.0178031540851071,"BRD-K41790758","BRD-K41790758","trt_cp","HL60","500 nM","6 h","AML001_HL60_6H_X1_F1B10:H08|AML001_HL60_6H_X1_F1B10:H20|AML001_HL60_6H_X2_B11:H08|AML001_HL60_6H_X2_B11:H20|AML001_HL60_6H_X3_F1B10:H08|AML001_HL60_6H_X3_F1B10:H20"
"AML001_HL60_24H:BRD-K64302725:0.37037",-0.67699,0.00931321078393062,"BRD-K64302725","KUC105208","trt_cp","HL60","500 nM","24 h","AML001_HL60_24H_X1_F1B10:P06|AML001_HL60_24H_X1_F1B10:P18|AML001_HL60_24H_X2_F1B10:P06|AML001_HL60_24H_X2_F1B10:P18|AML001_HL60_24H_X3_F1B10:P06|AML001_HL60_24H_X3_F1B10:P18"
"AML001_HL60_24H:BRD-K64877338:10",-0.659695,0.0234472903597656,"BRD-K64877338","BRD-K64877338","trt_cp","HL60","10 µM","24 h","AML001_HL60_24H_X1_F1B10:K01|AML001_HL60_24H_X1_F1B10:K13|AML001_HL60_24H_X2_F1B10:K01|AML001_HL60_24H_X2_F1B10:K13|AML001_HL60_24H_X3_F1B10:K01|AML001_HL60_24H_X3_F1B10:K13"
"AML001_HL60_24H:BRD-K03439359:10",-0.654565,0.0862523021210967,"BRD-K03439359","BRD-K03439359","trt_cp","HL60","10 µM","24 h","AML001_HL60_24H_X1_F1B10:C01|AML001_HL60_24H_X1_F1B10:C13|AML001_HL60_24H_X2_F1B10:C01|AML001_HL60_24H_X2_F1B10:C13|AML001_HL60_24H_X3_F1B10:C01|AML001_HL60_24H_X3_F1B10:C13"
"AML001_HL60_24H:BRD-A73558769:0.37037",-0.641885,0.024141420434289,"BRD-A73558769","BRD-A73558769","trt_cp","HL60","500 nM","24 h","AML001_HL60_24H_X1_F1B10:B12|AML001_HL60_24H_X1_F1B10:B24|AML001_HL60_24H_X2_F1B10:B12|AML001_HL60_24H_X2_F1B10:B24|AML001_HL60_24H_X3_F1B10:B12|AML001_HL60_24H_X3_F1B10:B24"
"AML001_HL60_24H:BRD-K64877338:1.11111",-0.641245,0.0815406509300874,"BRD-K64877338","BRD-K64877338","trt_cp","HL60","1 µM","24 h","AML001_HL60_24H_X1_F1B10:L01|AML001_HL60_24H_X1_F1B10:L13|AML001_HL60_24H_X2_F1B10:L01|AML001_HL60_24H_X2_F1B10:L13|AML001_HL60_24H_X3_F1B10:L01|AML001_HL60_24H_X3_F1B10:L13"
"AML001_HL60_6H:BRD-A72498772:3.33333",-0.637605,0.0150899027222183,"BRD-A72498772","BRD-A72498772","trt_cp","HL60","3 µM","6 h","AML001_HL60_6H_X1_F1B10:K12|AML001_HL60_6H_X2_B11:K12|AML001_HL60_6H_X2_B11:K24|AML001_HL60_6H_X3_F1B10:K12"
"AML001_HL60_24H:BRD-A45664787:1.11111",-0.629755,0.0646611617899619,"BRD-A45664787","iloprost","trt_cp","HL60","1 µM","24 h","AML001_HL60_24H_X1_F1B10:J11|AML001_HL60_24H_X1_F1B10:J23|AML001_HL60_24H_X1_F1B10:L09|AML001_HL60_24H_X1_F1B10:L21|AML001_HL60_24H_X2_F1B10:J11|AML001_HL60_24H_X2_F1B10:J23|AML001_HL60_24H_X2_F1B10:L09|AML001_HL60_24H_X2_F1B10:L21|AML001_HL60_24H_X3_F1B10:J11|AML001_HL60_24H_X3_F1B10:J23|AML001_HL60_24H_X3_F1B10:L09|AML001_HL60_24H_X3_F1B10:L21"
"AML001_HL60_6H:BRD-K53325797:3.33333",-0.625935,0.0795233340376429,"BRD-K53325797","BRD-K53325797","trt_cp","HL60","3 µM","6 h","AML001_HL60_6H_X1_F1B10:C06|AML001_HL60_6H_X1_F1B10:C18|AML001_HL60_6H_X2_B11:C06|AML001_HL60_6H_X2_B11:C18|AML001_HL60_6H_X3_F1B10:C06|AML001_HL60_6H_X3_F1B10:C18"
"AML001_HL60_24H:BRD-K63513868:1.11111",-0.62173,0.102551625975029,"BRD-K63513868","BRD-K63513868","trt_cp","HL60","1 µM","24 h","AML001_HL60_24H_X1_F1B10:P03|AML001_HL60_24H_X1_F1B10:P15|AML001_HL60_24H_X2_F1B10:P03|AML001_HL60_24H_X2_F1B10:P15|AML001_HL60_24H_X3_F1B10:P03|AML001_HL60_24H_X3_F1B10:P15"
"AML001_HL60_6H:BRD-K80368509:10",-0.6212,0.261593105660916,"BRD-K80368509","BRD-K80368509","trt_cp","HL60","10 µM","6 h","AML001_HL60_6H_X1_F1B10:M07|AML001_HL60_6H_X1_F1B10:M19|AML001_HL60_6H_X2_B11:M07|AML001_HL60_6H_X2_B11:M19|AML001_HL60_6H_X3_F1B10:M07|AML001_HL60_6H_X3_F1B10:M19"
"AML001_HL60_24H:BRD-K63513868:0.37037",-0.61974,0.0205129154003217,"BRD-K63513868","BRD-K63513868","trt_cp","HL60","500 nM","24 h","AML001_HL60_24H_X1_F1B10:P04|AML001_HL60_24H_X1_F1B10:P16|AML001_HL60_24H_X2_F1B10:P04|AML001_HL60_24H_X2_F1B10:P16|AML001_HL60_24H_X3_F1B10:P04|AML001_HL60_24H_X3_F1B10:P16"
"AML001_HL60_6H:BRD-K57391913:3.33333",-0.61848,0.0216394004281512,"BRD-K57391913","iloprost","trt_cp","HL60","3 µM","6 h","AML001_HL60_6H_X1_F1B10:E10|AML001_HL60_6H_X1_F1B10:E22|AML001_HL60_6H_X2_B11:E10|AML001_HL60_6H_X2_B11:E22|AML001_HL60_6H_X3_F1B10:E10|AML001_HL60_6H_X3_F1B10:E22"
"AML001_HL60_6H:BRD-K27316855:3.33333",-0.61554,0.0155453499394546,"BRD-K27316855","calcitriol","trt_cp","HL60","3 µM","6 h","AML001_HL60_6H_X1_F1B10:I10|AML001_HL60_6H_X1_F1B10:I22|AML001_HL60_6H_X2_B11:I10|AML001_HL60_6H_X2_B11:I22|AML001_HL60_6H_X3_F1B10:I10|AML001_HL60_6H_X3_F1B10:I22"
"AML001_HL60_24H:BRD-K80368509:1.11111",-0.604355,0.020224445574021,"BRD-K80368509","BRD-K80368509","trt_cp","HL60","1 µM","24 h","AML001_HL60_24H_X1_F1B10:N07|AML001_HL60_24H_X1_F1B10:N19|AML001_HL60_24H_X2_F1B10:N07|AML001_HL60_24H_X2_F1B10:N19|AML001_HL60_24H_X3_F1B10:N07|AML001_HL60_24H_X3_F1B10:N19"
"AML001_HL60_24H:BRD-K23623013:1.11111",-0.60196,0.0216208476788956,"BRD-K23623013","UTMB-00042","trt_cp","HL60","1 µM","24 h","AML001_HL60_24H_X1_F1B10:N03|AML001_HL60_24H_X1_F1B10:N15|AML001_HL60_24H_X2_F1B10:N03|AML001_HL60_24H_X2_F1B10:N15|AML001_HL60_24H_X3_F1B10:N03|AML001_HL60_24H_X3_F1B10:N15"
"AML001_HL60_24H:BRD-A73513677:3.33333",-0.601515,0.100474448485184,"BRD-A73513677","BRD-A73513677","trt_cp","HL60","3 µM","24 h","AML001_HL60_24H_X1_F1B10:M02|AML001_HL60_24H_X1_F1B10:M14|AML001_HL60_24H_X2_F1B10:M02|AML001_HL60_24H_X2_F1B10:M14|AML001_HL60_24H_X3_F1B10:M02|AML001_HL60_24H_X3_F1B10:M14"
